呼應	verb echo; work in concert with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">互相呼應</td><td style="width: 33.3333%;">echo each other</td><td style="width: 33.3333%;">hùxiāng hūyìng</td></tr></tbody></table>	呼應
數據	noun data	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">科學數據</td><td style="width: 33.3333%;">scientific data</td><td style="width: 33.3333%;">kēxué shùjù</td></tr><tr><td style="width: 33.3333%;">收集數據</td><td style="width: 33.3333%;">collect data</td><td style="width: 33.3333%;">shōují shùjù</td></tr><tr><td style="width: 33.3333%;">原始數據</td><td style="width: 33.3333%;">basic (or initial) data</td><td style="width: 33.3333%;">yuánshǐ shùjù</td></tr></tbody></table>	數據
顯示	verb show; display; demonstrate; manifest<br>noun petrochemical show; indication	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">顯示力量</td><td style="width: 33.3333%;">make a show of force; display one’s strength</td><td style="width: 33.3333%;">Xiǎnshì lìliang</td></tr><tr><td style="width: 33.3333%;">我們在戰勝自然災害中顯示了巨大威力。</td><td style="width: 33.3333%;">We have shown our tremendous strength in overcoming natural calamities.</td><td style="width: 33.3333%;">Wǒmen zài zhànshèng zìrán zāihài zhōng xiǎnshì le jùdà wēilì.</td></tr><tr><td style="width: 33.3333%;">這些文物顯示出中國古代勞動人民的高度智慧。</td><td style="width: 33.3333%;">Zhōngguó gǔdài láodòng rénmín de gāodù zhìhuì.</td><td style="width: 33.3333%;">Zhèxiē wénwù xiǎnshì chū</td></tr><tr><td style="width: 33.3333%;">地面顯示</td><td style="width: 33.3333%;">surface indications</td><td style="width: 33.3333%;">dìmiàn xiǎnshì</td></tr><tr><td style="width: 33.3333%;">石油顯示</td><td style="width: 33.3333%;">oil shows</td><td style="width: 33.3333%;">shíyóu xiǎnshì</td></tr><tr><td style="width: 33.3333%;">天然氣顯示</td><td style="width: 33.3333%;">gas shows</td><td style="width: 33.3333%;">tiānránqì xiǎnshì</td></tr></tbody></table>	顯示
生平	noun 1 all one's life 2 ever since one's birth	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">生平事跡</td><td style="width: 33.3333%;">one’s life story</td><td style="width: 33.3333%;">shēngpíng shìjì</td></tr><tr><td style="width: 33.3333%;">生平的心願</td><td style="width: 33.3333%;">the ambition of a lifetime</td><td style="width: 33.3333%;">shēngpíng de xīnyuàn</td></tr><tr><td style="width: 33.3333%;">作者生平簡介</td><td style="width: 33.3333%;">brief account of the author’s life; biographical note on the author</td><td style="width: 33.3333%;">zuòzhě shēngpíng jiǎnjiè</td></tr><tr><td style="width: 33.3333%;">生平第一次坐飛機</td><td style="width: 33.3333%;">travel by air for the first time in one’s life</td><td style="width: 33.3333%;">shēngpíng dì-yī cì zuò fēijī</td></tr></tbody></table>	生平
常規	noun 1 convention; common practice; routine 2 medicine routine	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">打破常規</td><td style="width: 33.3333%;">break with convention</td><td style="width: 33.3333%;">dǎpò chángguī</td></tr><tr><td style="width: 33.3333%;">超常規發展</td><td style="width: 33.3333%;">out-of-the-normal development</td><td style="width: 33.3333%;">Chāo chángguī fāzhǎn</td></tr><tr><td style="width: 33.3333%;">按照常規辦事</td><td style="width: 33.3333%;">follow the routine</td><td style="width: 33.3333%;">ànzhào chángguī bànshì</td></tr><tr><td style="width: 33.3333%;">尿常規</td><td style="width: 33.3333%;">routine urine test</td><td style="width: 33.3333%;">niào chángguī</td></tr><tr><td style="width: 33.3333%;">血常規</td><td style="width: 33.3333%;">routine blood test</td><td style="width: 33.3333%;">xuè chángguī</td></tr></tbody></table>	常規
同志	noun 1 comrade 2 common name for gay; homosexual	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">致以同志的敬禮</td><td style="width: 33.3333%;">with comradely greetings</td><td style="width: 33.3333%;">Zhìyǐ tóngzhì de jìnglǐ</td></tr><tr><td style="width: 33.3333%;">同志們辛苦了。</td><td style="width: 33.3333%;">Comrades, you have been working hard. or Comrades, thank you for your hard work.</td><td style="width: 33.3333%;">Tóngzhì men xīnkǔ le.</td></tr></tbody></table>	同志
撫養	verb foster; raise; rear; bring up	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">父母有撫養教育子女的義務。</td><td style="width: 33.3333%;">Parents have the duty to rear and educate their children.</td><td style="width: 33.3333%;">Fùmǔ yǒu fǔyǎng jiàoyù zǐnǚ de yìwù.</td></tr><tr><td style="width: 33.3333%;">她獨自把那三個孤兒撫養成人。</td><td style="width: 33.3333%;">She brought up the three orphans all by herself.</td><td style="width: 33.3333%;">Tā dúzì bǎ nà sān ge gū'ér fǔyǎng chéngrén.</td></tr></tbody></table>	撫養
支持	verb 1 sustain; hold out; bear 2 support; back; stand by	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他凍得支持不住了。</td><td style="width: 33.3333%;">He was so cold he could hardly bear it.</td><td style="width: 33.3333%;">Tā dòng de zhīchí bù zhù le.</td></tr><tr><td style="width: 33.3333%;">支持被壓迫人民的鬥爭</td><td style="width: 33.3333%;">support the struggle of oppressed peoples</td><td style="width: 33.3333%;">zhīchí bèi yāpò rénmín de dòuzhēng</td></tr><tr><td style="width: 33.3333%;">給予堅決的支持</td><td style="width: 33.3333%;">give strong backing to</td><td style="width: 33.3333%;">jǐyǔ jiānjué de zhīchí</td></tr><tr><td style="width: 33.3333%;">在國際上得到越來越廣泛的支持</td><td style="width: 33.3333%;">enjoy wider and wider international support</td><td style="width: 33.3333%;">Zài guójì shàng dédào yuèláiyuè guǎngfàn de zhīchí</td></tr><tr><td style="width: 33.3333%;">我完全支持這個建議。</td><td style="width: 33.3333%;">I fully support this proposal.</td><td style="width: 33.3333%;">Wǒ wánquán zhīchí zhège jiànyì.</td></tr></tbody></table>	支持
環境	noun environment; surroundings; circumstances	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">環境順利</td><td style="width: 33.3333%;">under favourable circumstances</td><td style="width: 33.3333%;">huánjìng shùnlì</td></tr><tr><td style="width: 33.3333%;">換換環境</td><td style="width: 33.3333%;">have a change of environment; a change of scene</td><td style="width: 33.3333%;">huàn huàn huánjìng</td></tr><tr><td style="width: 33.3333%;">如環境許可</td><td style="width: 33.3333%;">if circumstances permit</td><td style="width: 33.3333%;">rú huánjìng xǔkě</td></tr><tr><td style="width: 33.3333%;">為環境所迫</td><td style="width: 33.3333%;">forced by circumstances</td><td style="width: 33.3333%;">wéi huánjìng suǒ pò</td></tr><tr><td style="width: 33.3333%;">改善投資環境</td><td style="width: 33.3333%;">improve the investment environment</td><td style="width: 33.3333%;">gǎishàn tóuzī huánjìng</td></tr><tr><td style="width: 33.3333%;">在艱苦的環境中成長</td><td style="width: 33.3333%;">grow up under tough conditions</td><td style="width: 33.3333%;">zài jiānkǔ de huánjìng zhōng chéngzhǎng</td></tr><tr><td style="width: 33.3333%;">創造適宜的經濟和社會環境</td><td style="width: 33.3333%;">create a favourable economic and social environment</td><td style="width: 33.3333%;">Chuàngzào shìyí de jīngjì hé shèhuì huánjìng</td></tr></tbody></table>	環境
表決	verb decide by vote; vote	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">表決通過</td><td style="width: 33.3333%;">be voted through; adopt by a vote</td><td style="width: 33.3333%;">biǎojué tōngguò</td></tr><tr><td style="width: 33.3333%;">唱名表決</td><td style="width: 33.3333%;">vote by roll call; roll-call vote</td><td style="width: 33.3333%;">chàngmíngbiǎojué</td></tr><tr><td style="width: 33.3333%;">舉手表決</td><td style="width: 33.3333%;">vote by a show of hands</td><td style="width: 33.3333%;">jǔshǒu biǎojué</td></tr><tr><td style="width: 33.3333%;">口頭表決</td><td style="width: 33.3333%;">voice vote; vote by “yes” or “no”</td><td style="width: 33.3333%;">kǒutóu biǎojué</td></tr><tr><td style="width: 33.3333%;">起立表決</td><td style="width: 33.3333%;">vote by sitting and standing</td><td style="width: 33.3333%;">qǐlì biǎojué</td></tr><tr><td style="width: 33.3333%;">投票表決</td><td style="width: 33.3333%;">decide (or vote) by ballot</td><td style="width: 33.3333%;">tóupiào biǎojué</td></tr><tr><td style="width: 33.3333%;">把爭論的問題交付表決</td><td style="width: 33.3333%;">put the dispute to the vote; take a vote on the matter under dispute</td><td style="width: 33.3333%;">bǎ zhēnglùn de wèntí jiāofù biǎojué</td></tr><tr><td style="width: 33.3333%;">我們現在表決。</td><td style="width: 33.3333%;">Let’s take a vote.</td><td style="width: 33.3333%;">Wǒmen xiànzài biǎojué.</td></tr></tbody></table>	表決
任命	verb appoint; designate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">任命某人為校長</td><td style="width: 33.3333%;">appoint sb. president of a university</td><td style="width: 33.3333%;">rènmìng mǒurén wéi xiàozhǎng</td></tr></tbody></table>	任命
內閣	noun cabinet	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">改組內閣</td><td style="width: 33.3333%;">reshuffle the cabinet</td><td style="width: 33.3333%;">gǎizǔ nèigé</td></tr></tbody></table>	內閣
首長	noun leading cadre; senior officer	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">我的老首長</td><td style="width: 33.3333%;">my old chief</td><td style="width: 33.3333%;">wǒ de lǎo shǒuzhǎng</td></tr></tbody></table>	首長
過度	adjective excessive; undue; over-	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">過度放牧</td><td style="width: 33.3333%;">overgraze</td><td style="width: 33.3333%;">guòdù fàngmù</td></tr><tr><td style="width: 33.3333%;">過度開采</td><td style="width: 33.3333%;">overexploitation</td><td style="width: 33.3333%;">guòdù kāicǎi</td></tr><tr><td style="width: 33.3333%;">過度開墾</td><td style="width: 33.3333%;">excessive land reclamation</td><td style="width: 33.3333%;">guòdù kāikěn</td></tr><tr><td style="width: 33.3333%;">過度敏感</td><td style="width: 33.3333%;">oversensitive</td><td style="width: 33.3333%;">guòdù mǐngǎn</td></tr><tr><td style="width: 33.3333%;">過度疲勞</td><td style="width: 33.3333%;">be overtired</td><td style="width: 33.3333%;">guòdù píláo</td></tr><tr><td style="width: 33.3333%;">過度興奮</td><td style="width: 33.3333%;">be overxcited</td><td style="width: 33.3333%;">Guòdù xīngfèn</td></tr><tr><td style="width: 33.3333%;">飲酒過度對身體有害。</td><td style="width: 33.3333%;">Excessive drinking is harmful to the health.</td><td style="width: 33.3333%;">Yǐnjiǔ guòdù duì shēntǐ yǒuhài.</td></tr></tbody></table>	過度
搬遷	verb move; transfer; relocate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">辦事處從西區搬遷到了東區。</td><td style="width: 33.3333%;">The office has relocated from the western to the eastern district.</td><td style="width: 33.3333%;">Bànshìchù cóng xī qū bānqiān dàoliǎo dōng qū.</td></tr><tr><td style="width: 33.3333%;">這一家是新搬遷來的。</td><td style="width: 33.3333%;">The family has moved here recently.</td><td style="width: 33.3333%;">Zhè yī jiā shì xīn bānqiān lái de.</td></tr></tbody></table>	搬遷
支應	verb 1 cope with; deal with 2 wait on; attend to	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">支應門戶</td><td style="width: 33.3333%;">attend to the door 3 supply</td><td style="width: 33.3333%;">zhī yìng ménhù</td></tr><tr><td style="width: 33.3333%;">支應糧草</td><td style="width: 33.3333%;">supply rations and fodder</td><td style="width: 33.3333%;">zhīyìng liángcǎo</td></tr></tbody></table>	支應
聞名	adjective well-known; famous; renowned<br>verb (-//-) be familiar with sb.'s name; know sb. by repute	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">聞名全國</td><td style="width: 33.3333%;">well-known throughout the country</td><td style="width: 33.3333%;">wénmíngquánguó</td></tr><tr><td style="width: 33.3333%;">世界聞名</td><td style="width: 33.3333%;">world-famous; world-renowned</td><td style="width: 33.3333%;">shìjiè wénmíng</td></tr><tr><td style="width: 33.3333%;">聞(其)名不如見(其)面</td><td style="width: 33.3333%;">Knowing a person by repute is not as good as meeting them face to face.</td><td style="width: 33.3333%;">wénmíng bùrú jiànmiàn</td></tr></tbody></table>	聞名
爆發	verb erupt; burst out; break out	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">火山爆發</td><td style="width: 33.3333%;">volcanic eruption</td><td style="width: 33.3333%;">huǒshān bàofā</td></tr><tr><td style="width: 33.3333%;">戰爭爆發。</td><td style="width: 33.3333%;">War broke out.</td><td style="width: 33.3333%;">Zhànzhēng bàofā.</td></tr><tr><td style="width: 33.3333%;">人群中爆發出一片歡呼聲。</td><td style="width: 33.3333%;">The crowd burst into cheers.</td><td style="width: 33.3333%;">Rénqún zhōng bàofā chū yī piàn huānhūshēng.</td></tr></tbody></table>	爆發
頻率	noun 1 physics frequency	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">低頻率</td><td style="width: 33.3333%;">low frequency</td><td style="width: 33.3333%;">dī pín lǜ</td></tr><tr><td style="width: 33.3333%;">高頻率</td><td style="width: 33.3333%;">high frequency 2 rate of recurrence; frequency</td><td style="width: 33.3333%;">gāo pín lǜ</td></tr></tbody></table>	頻率
歷經	verb experience; go through	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">歷經磨難</td><td style="width: 33.3333%;">endure tribulations; go through all kinds of hardships</td><td style="width: 33.3333%;">lìjīng mónàn</td></tr><tr><td style="width: 33.3333%;">歷經千難萬險</td><td style="width: 33.3333%;">go through hell and high water</td><td style="width: 33.3333%;">lìjīng qiānnán-wànxiǎn</td></tr><tr><td style="width: 33.3333%;">歷經時世變遷</td><td style="width: 33.3333%;">experience the changes of the times</td><td style="width: 33.3333%;">lìjīng shíshì biànqiān</td></tr></tbody></table>	歷經
負擔	noun burden; load; encumbrance	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">財政負擔</td><td style="width: 33.3333%;">financial burden</td><td style="width: 33.3333%;">Cáizhèng fùdān</td></tr><tr><td style="width: 33.3333%;">工作負擔</td><td style="width: 33.3333%;">workload</td><td style="width: 33.3333%;">gōngzuò fùdān</td></tr><tr><td style="width: 33.3333%;">家庭負擔</td><td style="width: 33.3333%;">family burden (esp. financial)</td><td style="width: 33.3333%;">jiātíng fùdān</td></tr><tr><td style="width: 33.3333%;">思想負擔</td><td style="width: 33.3333%;">a load on one's mind; mental burden</td><td style="width: 33.3333%;">sīxiǎng fùdān</td></tr><tr><td style="width: 33.3333%;">減輕學生負擔</td><td style="width: 33.3333%;">lighten students' study load</td><td style="width: 33.3333%;">jiǎnqīng xuésheng fùdān</td></tr><tr><td style="width: 33.3333%;">解除精神負擔</td><td style="width: 33.3333%;">free one's mind of encumbrances bear (a burden); shoulder</td><td style="width: 33.3333%;">jiěchú jīngshén fùdān</td></tr><tr><td style="width: 33.3333%;">旅費由東道國負擔。</td><td style="width: 33.3333%;">All the travel expenses will be borne by the host country.</td><td style="width: 33.3333%;">Lǚfèi yóu dōngdàoguó fùdān.</td></tr></tbody></table>	負擔
總理	noun premier; prime minister	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">副總理</td><td style="width: 33.3333%;">vice-premier</td><td style="width: 33.3333%;">fùzǒnglǐ</td></tr><tr><td style="width: 33.3333%;">國務院總理</td><td style="width: 33.3333%;">the Premier of the State Council verb literary take overall responsibility</td><td style="width: 33.3333%;">Guówùyuàn zǒnglǐ</td></tr><tr><td style="width: 33.3333%;">總理各國事務</td><td style="width: 33.3333%;">in charge of foreign affairs</td><td style="width: 33.3333%;">zǒnglǐ gèguó shìwù</td></tr></tbody></table>	總理
領軍	verb 1 command an army 2 lead; play a leading role	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">缺乏領軍人物</td><td style="width: 33.3333%;">lack a leading light</td><td style="width: 33.3333%;">Quēfá lǐngjūn rénwù</td></tr></tbody></table>	領軍
導致	verb lead to; result in; cause	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">導致第二次世界大戰的一些事件</td><td style="width: 33.3333%;">the events that led up to World War II</td><td style="width: 33.3333%;">Dǎozhì dì-èr cì shìjiè dàzhàn de yīxiē shìjiàn</td></tr><tr><td style="width: 33.3333%;">理論上的錯誤必然導致實踐上的失敗。</td><td style="width: 33.3333%;">Errors in theory will inevitably result in failures in practice.</td><td style="width: 33.3333%;">Lǐlùn shàng de cuòwù bìrán dǎozhì shíjiàn shàng de shībài.</td></tr></tbody></table>	導致
生態	noun organisms' habits, modes of life and relation to their environment; ecology	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">生態脆弱地區</td><td style="width: 33.3333%;">ecologically vulnerable area</td><td style="width: 33.3333%;">shēngtài cuìruò dìqū</td></tr><tr><td style="width: 33.3333%;">生態的自我修復能力</td><td style="width: 33.3333%;">ecological self-regeneration capacity</td><td style="width: 33.3333%;">shēngtài de zìwǒ xiūfù nénglì</td></tr></tbody></table>	生態
浩劫	noun great calamity; catastrophe	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">空前的浩劫</td><td style="width: 33.3333%;">unprecedented calamity</td><td style="width: 33.3333%;">kōngqián dehàojié</td></tr></tbody></table>	浩劫
估算	verb estimate; appraise; reckon	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">估算產量</td><td style="width: 33.3333%;">estimate the yield</td><td style="width: 33.3333%;">Gūsuàn chǎnliàng</td></tr><tr><td style="width: 33.3333%;">估算幾種可能性</td><td style="width: 33.3333%;">reckon with several possibilities</td><td style="width: 33.3333%;">gūsuàn jǐ zhǒng kěnéngxìng</td></tr></tbody></table>	估算
數據	noun data	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">科學數據</td><td style="width: 33.3333%;">scientific data</td><td style="width: 33.3333%;">kēxué shùjù</td></tr><tr><td style="width: 33.3333%;">收集數據</td><td style="width: 33.3333%;">collect data</td><td style="width: 33.3333%;">shōují shùjù</td></tr><tr><td style="width: 33.3333%;">原始數據</td><td style="width: 33.3333%;">basic (or initial) data</td><td style="width: 33.3333%;">yuánshǐ shùjù</td></tr></tbody></table>	數據
顯示	verb show; display; demonstrate; manifest<br>noun petrochemical show; indication	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">顯示力量</td><td style="width: 33.3333%;">make a show of force; display one’s strength</td><td style="width: 33.3333%;">Xiǎnshì lìliang</td></tr><tr><td style="width: 33.3333%;">我們在戰勝自然災害中顯示了巨大威力。</td><td style="width: 33.3333%;">We have shown our tremendous strength in overcoming natural calamities.</td><td style="width: 33.3333%;">Wǒmen zài zhànshèng zìrán zāihài zhōng xiǎnshì le jùdà wēilì.</td></tr><tr><td style="width: 33.3333%;">這些文物顯示出中國古代勞動人民的高度智慧。</td><td style="width: 33.3333%;">These cultural relics demonstrate the great intelligence of the labouring people of ancient China.</td><td style="width: 33.3333%;">Zhèxiē wénwù xiǎnshì chū Zhōngguó gǔdài láodòng rénmín de gāodù zhìhuì.</td></tr><tr><td style="width: 33.3333%;">地面顯示</td><td style="width: 33.3333%;">surface indications</td><td style="width: 33.3333%;">dìmiàn xiǎnshì</td></tr><tr><td style="width: 33.3333%;">石油顯示</td><td style="width: 33.3333%;">oil shows</td><td style="width: 33.3333%;">shíyóu xiǎnshì</td></tr><tr><td style="width: 33.3333%;">天然氣顯示</td><td style="width: 33.3333%;">gas shows</td><td style="width: 33.3333%;">tiānránqì xiǎnshì</td></tr></tbody></table>	顯示
規模	noun scale; scope; extent; dimensions<br>adjective large-scale	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">規模空前的盛會</td><td style="width: 33.3333%;">a gathering of unprecedented size</td><td style="width: 33.3333%;">Guīmó kōngqián de shènghuì</td></tr><tr><td style="width: 33.3333%;">這個工程規模宏大。</td><td style="width: 33.3333%;">The project is on a grand scale.</td><td style="width: 33.3333%;">Zhège gōngchéng guīmó hóngdà.</td></tr><tr><td style="width: 33.3333%;">那個公司的規模很大。</td><td style="width: 33.3333%;">The company is very large.</td><td style="width: 33.3333%;">Nà ge gōngsī de guīmó hěn dà.</td></tr><tr><td style="width: 33.3333%;">這所大學開辦只有三年, 現已初具規模。</td><td style="width: 33.3333%;">This university, founded only three years ago, has already reached a certain scale.</td><td style="width: 33.3333%;">Zhè suǒ dàxué kāibàn zhǐ yǒu sān nián, xiàn yǐ chūjùguīmó.</td></tr><tr><td style="width: 33.3333%;">規模經濟</td><td style="width: 33.3333%;">economy of scale</td><td style="width: 33.3333%;">guīmó jīngjì</td></tr><tr><td style="width: 33.3333%;">規模生產</td><td style="width: 33.3333%;">mass production</td><td style="width: 33.3333%;">guīmó shēngchǎn</td></tr></tbody></table>	規模
變遷	verb change; undergo change	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">人世變遷</td><td style="width: 33.3333%;">the vicissitudes of life</td><td style="width: 33.3333%;">rénshì biànqiān</td></tr><tr><td style="width: 33.3333%;">社會變遷</td><td style="width: 33.3333%;">social changes</td><td style="width: 33.3333%;">shèhuì biànqiān</td></tr><tr><td style="width: 33.3333%;">適應時代變遷</td><td style="width: 33.3333%;">adapt to the changing times</td><td style="width: 33.3333%;">Shìyìng shídài biànqiān</td></tr><tr><td style="width: 33.3333%;">隨時代而變遷</td><td style="width: 33.3333%;">change with the times</td><td style="width: 33.3333%;">suí shídài ér biànqiān</td></tr></tbody></table>	變遷
發言人	noun spokesman; spokeswoman; spokesperson	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">政府發言人</td><td style="width: 33.3333%;">government spokesman or spokeswoman</td><td style="width: 33.3333%;">Zhèngfǔ fāyánrén</td></tr></tbody></table>	發言人
承諾	verb promise to undertake; undertake to do sth.	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">雙方承諾為進一步開展文化交流創造便利條件。</td><td style="width: 33.3333%;">Both sides undertake to facilitate further cultural exchanges. noun promise</td><td style="width: 33.3333%;">Shuāngfāng chéngnuò wèi jìnyībù kāizhǎn wénhuà jiāoliú chuàngzào biànlì tiáojiàn.</td></tr><tr><td style="width: 33.3333%;">履行承諾</td><td style="width: 33.3333%;">fulfill (or carry out) one’s promise</td><td style="width: 33.3333%;">lǚxíng chéngnuò</td></tr><tr><td style="width: 33.3333%;">我無法作出肯定的承諾。</td><td style="width: 33.3333%;">I can’t make a definite promise. or I can’t promise anything.</td><td style="width: 33.3333%;">Wǒ wúfǎ zuò chū kěndìng de chéngnuò.</td></tr></tbody></table>	承諾
辯論	verb argue; debate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">辯論個水落石出</td><td style="width: 33.3333%;">argue the matter out; debate out a question thoroughly</td><td style="width: 33.3333%;">Biànlùn ge shuǐluòshíchū</td></tr><tr><td style="width: 33.3333%;">公開辯論</td><td style="width: 33.3333%;">dispute in public; public dispute; debate openly noun argument; debate</td><td style="width: 33.3333%;">gōngkāi biànlùn</td></tr><tr><td style="width: 33.3333%;">激烈的辯論</td><td style="width: 33.3333%;">heated (or violent) argument</td><td style="width: 33.3333%;">jīliè debiànlùn</td></tr></tbody></table>	辯論
賜	verb 1 bestow; confer 2 courteous favour; grant<br>noun courteous gift	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">賜恩</td><td style="width: 33.3333%;">bestow favours</td><td style="width: 33.3333%;">Cì ēn</td></tr><tr><td style="width: 33.3333%;">賜福</td><td style="width: 33.3333%;">give a blessing; bless</td><td style="width: 33.3333%;">cìfú</td></tr><tr><td style="width: 33.3333%;">盼賜示。</td><td style="width: 33.3333%;">I await your instructions.</td><td style="width: 33.3333%;">Pàn cì shì.</td></tr><tr><td style="width: 33.3333%;">請即賜復。</td><td style="width: 33.3333%;">Please favour me with an early reply.</td><td style="width: 33.3333%;">Qǐng jí cì fù.</td></tr><tr><td style="width: 33.3333%;">厚賜受之有愧。</td><td style="width: 33.3333%;">I feel unworthy of the precious gift you have bestowed on me.</td><td style="width: 33.3333%;">Hòucì shòu zhī yǒukuì.</td></tr></tbody></table>	賜
疲倦	adjective tired and sleepy; burned-out; weary	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他連坐了兩天火車, 顯得很疲倦。</td><td style="width: 33.3333%;">He looked quite worn-out after a two days’ train journey.</td><td style="width: 33.3333%;">Tā lián zuò le liǎng tiān huǒchē, xiǎnde hěn píjuàn.</td></tr></tbody></table>	疲倦
宿醉	noun hangover	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">宿醉未醒</td><td style="width: 33.3333%;">still having a hangover</td><td style="width: 33.3333%;">sùzuìwèixǐng</td></tr></tbody></table>	宿醉
希奇	adjective rare; strange; curious	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">十月下雪在這兒不是什麼稀奇的事。</td><td style="width: 33.3333%;">Snow in October is nothing strange in this place.</td><td style="width: 33.3333%;">Shíyuè xiàxuě zài zhèr bù shì shénmexīqí de shì.</td></tr></tbody></table>	希奇
罐	noun 1 jar; pot; tin 2 mining coal tub<br>measure word jar; pot; tin	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">水罐</td><td style="width: 33.3333%;">water pitcher</td><td style="width: 33.3333%;">shuǐguàn</td></tr><tr><td style="width: 33.3333%;">茶葉罐</td><td style="width: 33.3333%;">tea caddy</td><td style="width: 33.3333%;">cháyèguàn</td></tr><tr><td style="width: 33.3333%;">一罐蘋果醬</td><td style="width: 33.3333%;">a jar of apple jam</td><td style="width: 33.3333%;">yī guàn píngguǒjiàng</td></tr></tbody></table>	罐
心靈	adjective clever; intelligent; quick-witted	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">心靈手巧</td><td style="width: 33.3333%;">clever and deft noun heart; soul; spirit</td><td style="width: 33.3333%;">xīnlíngshǒuqiǎo</td></tr><tr><td style="width: 33.3333%;">心靈美</td><td style="width: 33.3333%;">internal beauty; integrity</td><td style="width: 33.3333%;">xīnlíngměi</td></tr><tr><td style="width: 33.3333%;">心靈深處</td><td style="width: 33.3333%;">deep in one’s heart</td><td style="width: 33.3333%;">xīnlíng shēnchù</td></tr><tr><td style="width: 33.3333%;">在她幼小的心靈裡</td><td style="width: 33.3333%;">in her childish heart</td><td style="width: 33.3333%;">zài tā yòuxiǎo de xīnlíng lǐ</td></tr></tbody></table>	心靈
遵行	verb act on; follow	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">遵行一貫的原則</td><td style="width: 33.3333%;">act according to consistent principles</td><td style="width: 33.3333%;">zūnxíng yīguàn de yuánzé</td></tr></tbody></table>	遵行
